sub_area_id,root_id,node_id,major_intersection_separating_code,sequence
113,6031,191223,1,1
177,6119,191235,1,1
177,6200,cluster_191637_193468_193469,1,2
177,6150,SN20220607140749,1,3
177,6150,SN20220721093102A,2,4
177,6104,cluster_J10_J8_J9,1,5
177,6105,191237,1,6
177,6015,191249,1,7
615,6096,192042,1,1
615,6106,191765,1,2
615,6097,191424,1,3
73,6166,192589,1,1
73,6009,191224,1,2
73,6122,SN20220607135103,1,3
86,6006,cluster_191255_193138_193586_193587,1,1
