20220901084500,truck,140
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901091500,bus,62
20220901091500,motorcycle,5
20220901091500,passenger,1143
20220901091500,truck,165
20220901093000,bus,51
20220901093000,motorcycle,9
20220901093000,passenger,1227
20220901093000,truck,158
20220901094500,bus,50
20220901094500,motorcycle,7
20220901094500,passenger,1169
20220901094500,truck,165
20220901100000,bus,58
20220901100000,motorcycle,10
20220901100000,passenger,1127
20220901100000,truck,166
20220901101500,bus,52
20220901101500,motorcycle,5
20220901101500,passenger,1092
20220901101500,truck,180
20220901103000,bus,40
20220901103000,motorcycle,12
20220901103000,passenger,837
20220901103000,truck,126
20220901114500,bus,45
20220901114500,motorcycle,18
20220901114500,passenger,843
20220901114500,truck,153
20220901120000,bus,50
20220901120000,motorcycle,17
20220901120000,passenger,1019
20220901120000,truck,168
20220901121500,bus,56
20220901121500,motorcycle,16
20220901121500,passenger,1034
20220901121500,truck,163
20220901123000,bus,51
20220901123000,motorcycle,17
20220901123000,passenger,1021
20220901123000,truck,172
20220901124500,bus,53
20220901124500,motorcycle,17
20220901124500,passenger,1016
20220901124500,truck,190
20220901130000,bus,53
20220901130000,motorcycle,24
20220901130000,passenger,1015
20220901130000,truck,209
20220901131500,bus,55
20220901131500,motorcycle,20
20220901131500,passenger,1010
20220901131500,truck,221
20220901133000,bus,42
20220901133000,motorcycle,11
20220901133000,passenger,1028
20220901133000,truck,260
20220901134500,bus,53
20220901134500,motorcycle,21
20220901134500,passenger,1064
20220901134500,truck,288
20220901140000,bus,46
20220901140000,motorcycle,20
20220901140000,passenger,1054
20220901140000,truck,266
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901091500,bus,62
20220901091500,motorcycle,5
20220901091500,passenger,1143
20220901091500,truck,165
20220901091500,bus,62
20220901091500,motorcycle,5
20220901091500,passenger,1143
20220901091500,truck,165
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901091500,bus,62
20220901091500,motorcycle,5
20220901091500,passenger,1143
20220901091500,truck,165
20220901091500,bus,62
20220901091500,motorcycle,5
20220901091500,passenger,1143
20220901091500,truck,165
20220901090000,bus,48
20220901090000,motorcycle,6
20220901090000,passenger,1198
20220901090000,truck,178
20220901091500,bus,62
20220901091500,motorcycle,5
20220901091500,passenger,1143
20220901091500,truck,165
20220901091500,bus,62
20220901091500,motorcycle,5
20220901091500,passenger,1143
20220901091500,truck,165
20220901134500,bus,256
20220901134500,motorcycle,245
20220901134500,passenger,5157
20220901134500,truck,1168
20220901134500,bus,256
20220901134500,motorcycle,245
20220901134500,passenger,5157
20220901134500,truck,1168
20220901134500,bus,53
20220901134500,motorcycle,21
20220901134500,passenger,1064
20220901134500,truck,288
20220901134500,bus,53
20220901134500,motorcycle,21
20220901134500,passenger,1064
20220901134500,truck,288
20220901134500,bus,53
20220901134500,motorcycle,21
20220901134500,passenger,1064
20220901134500,truck,288
20220901000000,bus,17
20220901000000,motorcycle,4
20220901000000,passenger,320
20220901000000,truck,69
20220901001500,bus,8
20220901001500,passenger,305
20220901001500,truck,66
20220901003000,bus,11
20220901003000,motorcycle,3
20220901003000,passenger,271
20220901003000,truck,46
20220901004500,bus,10
20220901004500,motorcycle,6
20220901004500,passenger,289
20220901004500,truck,57
20220901010000,bus,5
20220901010000,motorcycle,5
20220901010000,passenger,220
20220901010000,truck,41
20220901011500,bus,8
20220901011500,motorcycle,8
20220901011500,passenger,234
20220901011500,truck,61
20220901013000,bus,12
20220901013000,motorcycle,4
20220901013000,passenger,209
20220901013000,truck,47
20220901014500,bus,7
20220901014500,motorcycle,1
20220901014500,passenger,198
20220901014500,truck,34
20220901020000,bus,7
20220901020000,motorcycle,7
20220901020000,passenger,181
20220901020000,truck,37
20220901021500,bus,4
20220901021500,motorcycle,1
20220901021500,passenger,170
20220901021500,truck,39
20220901023000,bus,5
20220901023000,motorcycle,2
20220901023000,passenger,159
20220901023000,truck,43
20220901024500,bus,9
20220901024500,motorcycle,1
20220901024500,passenger,175
20220901024500,truck,33
20220901030000,bus,6
20220901030000,motorcycle,3
20220901030000,passenger,122
20220901030000,truck,24
20220901031500,bus,6
20220901031500,motorcycle,1
20220901031500,passenger,172
20220901031500,truck,36
20220901033000,bus,2
20220901033000,passenger,138
20220901033000,truck,41
20220901034500,bus,7
20220901034500,motorcycle,1
20220901034500,passenger,134
20220901034500,truck,41
20220901040000,bus,4
20220901040000,motorcycle,1
20220901040000,passenger,144
20220901040000,truck,40
20220901041500,bus,5
20220901041500,motorcycle,3
20220901041500,passenger,135
20220901041500,truck,40
20220901043000,bus,10
