unix_time,vhcl_id,stdr_ymd,stdr_hm,stdr_ss,lon,lat,alt,spd,allowed_spd,agl,slp,vhcl_typ,from_inter_id,to_inter_id,dist2to_inter,turn_typ2to_inter,edge_grp_id,edge_id,lane_id,seg_id,nxt_inter_id,dist2nxt_inter,turn_typ2nxt_inter,nxt_inter_sig_st,nxt_inter_phs_no,que_all,que_200,que_200_500,que_500,tl
1660075967,passenger_1660075260_1660075920_44,20220810,512,47,126.7613044331548,37.495396655680935,0.0,0.0,14.144187,10.872801402928092,0.0,1,,,,,,,477610053_02020202_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_44,20220810,514,59,126.76173259569066,37.49642233590245,0.0,7.6185768328396435,16.975061,101.29096664237208,0.0,1,,,,,,,477604809_01_0,,,,,,,0,2,2,2,0.551190017353125
1660075972,passenger_1660075260_1660075920_46,20220810,512,52,126.75615988844513,37.49700080595649,0.0,0.0,16.365198,15.376735673218532,0.0,1,SN20220622161909J,201330,9.15,,SN20220622161909J_201330,477643153_02,477643153_02_0,477643153_02_0_001,,,,,,1,1,2,2,1.0
1660076099,passenger_1660075260_1660075920_46,20220810,514,59,126.75672024141812,37.4989050094157,0.0,0.0,16.365198,13.2502296013093,0.0,1,,,,,,,477643149_010201_02_0,,,,,,,1,2,2,2,1.0
1660075970,passenger_1660075260_1660075920_47,20220810,512,50,126.77141339101628,37.50099871213478,0.0,0.0,15.641529000000002,280.3715790578683,0.0,1,,,,,,,477604115_0201_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_47,20220810,514,59,126.76902800050364,37.501298291117045,0.0,0.0,15.641529000000002,280.27234316061094,0.0,1,SN20220925160108B,201293,67.79,,SN20220925160108B_201293,477603993_02_01,477603993_02_01_0,477603993_02_01_0_001,,,,,,1,1,2,2,1.0
1660075971,passenger_1660075260_1660075920_48,20220810,512,51,126.75665433965438,37.50539168231413,0.0,0.0,17.050076,122.65937473069216,0.0,1,,,,,,,477754785_0201_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_48,20220810,514,59,126.7572447966688,37.50537967682156,0.0,0.0,17.050076,100.72390869063256,0.0,1,,,,,,,477754785_0202_01_2,,,,,,,1,2,2,2,1.0
1660075972,passenger_1660075260_1660075920_49,20220810,512,52,126.7690708548628,37.50376311608198,0.0,0.0,13.791381,171.00734714496397,0.0,1,,,,,,,477704547_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_49,20220810,514,59,126.769032668131,37.5030444514233,0.0,0.0,13.791381,11.273970720004092,0.0,1,,,,,,,477704547_02_2,,,,,,,1,2,2,2,1.0
1660075926,passenger_1660075260_1660075920_5,20220810,512,6,126.75981008485176,37.50238639696359,0.0,0.0,14.373372,100.9716828967143,0.0,1,,,,,,,477649507_01_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_5,20220810,514,59,126.7586222086528,37.50261567304545,0.0,0.0,11.496628,281.4380545367528,0.0,1,,,,,,,477656848_02_2,,,,,,,1,2,2,2,1.0
1660075973,passenger_1660075260_1660075920_50,20220810,512,53,126.76663386936498,37.504464217958336,0.0,0.0,16.46996,280.3739001851502,0.0,1,,,,,,,477752894_020101_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_50,20220810,514,59,126.76465671323156,37.504551856026765,0.0,0.0,16.46996,280.78160852009484,0.0,1,,,,,,,477706260_01_01_5,,,,,,,1,2,2,2,1.0
1660075980,passenger_1660075260_1660075920_51,20220810,513,0,126.7690708548628,37.50376311608198,0.0,0.0,14.149743,171.00734714496397,0.0,1,,,,,,,477704547_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_51,20220810,514,59,126.7690108980761,37.50310980298256,0.0,0.0,14.149743,11.782678227982244,0.0,1,,,,,,,477704547_02_3,,,,,,,1,2,2,2,1.0
1660075975,passenger_1660075260_1660075920_52,20220810,512,55,126.75853177479593,37.50682192501419,0.0,0.0,15.697089000000002,194.07161122856587,0.0,1,,,,,,,477707232_01_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_52,20220810,514,59,126.75839688459376,37.50610172562635,0.0,0.0,15.697089000000002,195.972038017817,0.0,1,SN20220622171052B,cluster_204796_205202,89.33,,SN20220622171052B_cluster_204796_205202,477707232_01_02,477707232_01_02_2,477707232_01_02_2_004,,,,,,1,1,2,2,1.0
1660075976,passenger_1660075260_1660075920_53,20220810,512,56,126.76126359753474,37.50172843348451,0.0,0.0,13.444131,10.550827792100876,0.0,1,,,,,,,477655738_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_53,20220810,514,59,126.7582145060918,37.5044249664142,0.0,13.25940824971529,13.444131,13.542593723866748,0.0,1,,,,,,,477753312_0101_02_0,,,,,,,0,2,2,2,0.0137400290345809
1660075978,passenger_1660075260_1660075920_55,20220810,512,58,126.76590616283416,37.49845791384971,0.0,0.0,12.720462,8.443649859591412,0.0,1,,,,,,,477651435_01_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_55,20220810,514,59,126.76213574512968,37.49645208809218,0.0,12.090305037519604,12.720462,281.7499835717705,0.0,1,,,,,,,477610004_02_01_3,,,,,,,0,2,2,2,0.0495388424162892
1660075979,passenger_1660075260_1660075920_56,20220810,512,59,126.7688494273403,37.50417149567075,0.0,0.0,18.305327,281.1147362808464,0.0,1,,,,,,,477714896_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_56,20220810,514,59,126.76445135223346,37.5047251361609,0.0,0.0,18.305327,280.78160852009484,0.0,1,,,,,,,477706260_01_01_0,,,,,,,1,2,2,2,1.0
1660075927,passenger_1660075260_1660075920_6,20220810,512,7,126.76512431289412,37.50524491943527,0.0,0.0,18.887110000000003,190.94955716609653,0.0,1,,,,,,,477710458_02_0,,,,,,,1,2,2,2,1.0
1660076099,passenger_1660075260_1660075920_6,20220810,514,59,126.76312158873564,37.50201671247761,0.0,0.0,15.73737,280.0654386434689,0.0,1,,,,,,,477604248_0202_01_2,,,,,,,1,2,2,2,1.0
