interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 00:15:07,grrrgrrrrrGggrrrgrrrrrGg,1660058107
204820,2022-08-10 00:15:11,grrrgrrrrryggrrrgrrrrryg,1660058111
204820,2022-08-10 00:15:27,gGGrgrrrrrrrgGGrgrrrrrrr,1660058127
204820,2022-08-10 00:15:31,gyyrgrrrrrrrgyyrgrrrrrrr,1660058131
204820,2022-08-10 00:16:18,grrGgrrrrrrrgrrGgrrrrrrr,1660058178
204820,2022-08-10 00:16:21,grrygrrrrrrrgrrygrrrrrrr,1660058181
204820,2022-08-10 00:16:36,grrrgGGGGGrrgrrrgGGGGGrr,1660058196
204820,2022-08-10 00:16:40,grrrgyyyyyrrgrrrgyyyyyrr,1660058200
204820,2022-08-10 00:17:47,grrrgrrrrrGggrrrgrrrrrGg,1660058267
204820,2022-08-10 00:17:51,grrrgrrrrryggrrrgrrrrryg,1660058271
204820,2022-08-10 00:18:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660058287
204820,2022-08-10 00:18:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660058291
204820,2022-08-10 00:18:58,grrGgrrrrrrrgrrGgrrrrrrr,1660058338
204820,2022-08-10 00:19:01,grrygrrrrrrrgrrygrrrrrrr,1660058341
204820,2022-08-10 00:19:17,grrrgGGGGGrrgrrrgGGGGGrr,1660058357
204820,2022-08-10 00:19:21,grrrgyyyyyrrgrrrgyyyyyrr,1660058361
204820,2022-08-10 00:20:27,grrrgrrrrrGggrrrgrrrrrGg,1660058427
204820,2022-08-10 00:20:31,grrrgrrrrryggrrrgrrrrryg,1660058431
204820,2022-08-10 00:20:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660058447
204820,2022-08-10 00:20:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660058451
204820,2022-08-10 00:21:37,grrGgrrrrrrrgrrGgrrrrrrr,1660058497
204820,2022-08-10 00:21:40,grrygrrrrrrrgrrygrrrrrrr,1660058500
204820,2022-08-10 00:21:57,grrrgGGGGGrrgrrrgGGGGGrr,1660058517
204820,2022-08-10 00:22:01,grrrgyyyyyrrgrrrgyyyyyrr,1660058521
204820,2022-08-10 00:23:07,grrrgrrrrrGggrrrgrrrrrGg,1660058587
204820,2022-08-10 00:23:11,grrrgrrrrryggrrrgrrrrryg,1660058591
204820,2022-08-10 00:23:27,gGGrgrrrrrrrgGGrgrrrrrrr,1660058607
204820,2022-08-10 00:23:31,gyyrgrrrrrrrgyyrgrrrrrrr,1660058611
204820,2022-08-10 00:24:18,grrGgrrrrrrrgrrGgrrrrrrr,1660058658
204820,2022-08-10 00:24:21,grrygrrrrrrrgrrygrrrrrrr,1660058661
204820,2022-08-10 00:24:37,grrrgGGGGGrrgrrrgGGGGGrr,1660058677
204820,2022-08-10 00:24:41,grrrgyyyyyrrgrrrgyyyyyrr,1660058681
204820,2022-08-10 00:25:47,grrrgrrrrrGggrrrgrrrrrGg,1660058747
204820,2022-08-10 00:25:51,grrrgrrrrryggrrrgrrrrryg,1660058751
204820,2022-08-10 00:26:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660058767
204820,2022-08-10 00:26:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660058771
204820,2022-08-10 00:26:58,grrGgrrrrrrrgrrGgrrrrrrr,1660058818
204820,2022-08-10 00:27:01,grrygrrrrrrrgrrygrrrrrrr,1660058821
204820,2022-08-10 00:27:18,grrrgGGGGGrrgrrrgGGGGGrr,1660058838
204820,2022-08-10 00:27:22,grrrgyyyyyrrgrrrgyyyyyrr,1660058842
204820,2022-08-10 00:28:27,grrrgrrrrrGggrrrgrrrrrGg,1660058907
204820,2022-08-10 00:28:31,grrrgrrrrryggrrrgrrrrryg,1660058911
204820,2022-08-10 00:28:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660058927
204820,2022-08-10 00:28:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660058931
204820,2022-08-10 00:29:38,grrGgrrrrrrrgrrGgrrrrrrr,1660058978
204820,2022-08-10 00:29:41,grrygrrrrrrrgrrygrrrrrrr,1660058981
204822,2022-08-10 00:15:06,grrrgGGGGGGrrgrrrrgGGGGGrr,1660058106
204822,2022-08-10 00:15:10,grrrgyyyyyyrrgrrrrgyyyyyrr,1660058110
