interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 01:00:26,grrrgrrrrrGggrrrgrrrrrGg,1660060826
204820,2022-08-10 01:00:30,grrrgrrrrryggrrrgrrrrryg,1660060830
204820,2022-08-10 01:00:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660060847
204820,2022-08-10 01:00:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660060851
204820,2022-08-10 01:01:38,grrGgrrrrrrrgrrGgrrrrrrr,1660060898
204820,2022-08-10 01:01:41,grrygrrrrrrrgrrygrrrrrrr,1660060901
204820,2022-08-10 01:01:57,grrrgGGGGGrrgrrrgGGGGGrr,1660060917
204820,2022-08-10 01:02:01,grrrgyyyyyrrgrrrgyyyyyrr,1660060921
204820,2022-08-10 01:03:07,grrrgrrrrrGggrrrgrrrrrGg,1660060987
204820,2022-08-10 01:03:11,grrrgrrrrryggrrrgrrrrryg,1660060991
204820,2022-08-10 01:03:27,gGGrgrrrrrrrgGGrgrrrrrrr,1660061007
204820,2022-08-10 01:03:31,gyyrgrrrrrrrgyyrgrrrrrrr,1660061011
204820,2022-08-10 01:04:18,grrGgrrrrrrrgrrGgrrrrrrr,1660061058
204820,2022-08-10 01:04:21,grrygrrrrrrrgrrygrrrrrrr,1660061061
204820,2022-08-10 01:04:36,grrrgGGGGGrrgrrrgGGGGGrr,1660061076
204820,2022-08-10 01:04:40,grrrgyyyyyrrgrrrgyyyyyrr,1660061080
204820,2022-08-10 01:05:47,grrrgrrrrrGggrrrgrrrrrGg,1660061147
204820,2022-08-10 01:05:51,grrrgrrrrryggrrrgrrrrryg,1660061151
204820,2022-08-10 01:06:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660061167
204820,2022-08-10 01:06:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660061171
204820,2022-08-10 01:06:58,grrGgrrrrrrrgrrGgrrrrrrr,1660061218
204820,2022-08-10 01:07:01,grrygrrrrrrrgrrygrrrrrrr,1660061221
204820,2022-08-10 01:07:17,grrrgGGGGGrrgrrrgGGGGGrr,1660061237
