interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 18:45:28,grrrgrrrrrGggrrrgrrrrrGg,1660124728
204820,2022-08-10 18:45:32,grrrgrrrrryggrrrgrrrrryg,1660124732
204820,2022-08-10 18:46:00,gGGrgrrrrrrrgGGrgrrrrrrr,1660124760
204820,2022-08-10 18:46:04,gyyrgrrrrrrrgyyrgrrrrrrr,1660124764
204820,2022-08-10 18:46:51,grrGgrrrrrrrgrrGgrrrrrrr,1660124811
204820,2022-08-10 18:46:54,grrygrrrrrrrgrrygrrrrrrr,1660124814
204820,2022-08-10 18:47:17,grrrgGGGGGrrgrrrgGGGGGrr,1660124837
204820,2022-08-10 18:47:21,grrrgyyyyyrrgrrrgyyyyyrr,1660124841
204820,2022-08-10 18:48:48,grrrgrrrrrGggrrrgrrrrrGg,1660124928
204820,2022-08-10 18:48:52,grrrgrrrrryggrrrgrrrrryg,1660124932
204820,2022-08-10 18:49:20,gGGrgrrrrrrrgGGrgrrrrrrr,1660124960
204820,2022-08-10 18:49:24,gyyrgrrrrrrrgyyrgrrrrrrr,1660124964
204820,2022-08-10 18:50:11,grrGgrrrrrrrgrrGgrrrrrrr,1660125011
204820,2022-08-10 18:50:14,grrygrrrrrrrgrrygrrrrrrr,1660125014
204820,2022-08-10 18:50:37,grrrgGGGGGrrgrrrgGGGGGrr,1660125037
204820,2022-08-10 18:50:41,grrrgyyyyyrrgrrrgyyyyyrr,1660125041
204820,2022-08-10 18:52:08,grrrgrrrrrGggrrrgrrrrrGg,1660125128
204820,2022-08-10 18:52:12,grrrgrrrrryggrrrgrrrrryg,1660125132
204820,2022-08-10 18:52:40,gGGrgrrrrrrrgGGrgrrrrrrr,1660125160
204820,2022-08-10 18:52:44,gyyrgrrrrrrrgyyrgrrrrrrr,1660125164
204820,2022-08-10 18:53:31,grrGgrrrrrrrgrrGgrrrrrrr,1660125211
204820,2022-08-10 18:53:34,grrygrrrrrrrgrrygrrrrrrr,1660125214
204820,2022-08-10 18:53:58,grrrgGGGGGrrgrrrgGGGGGrr,1660125238
204820,2022-08-10 18:54:02,grrrgyyyyyrrgrrrgyyyyyrr,1660125242
204820,2022-08-10 18:55:28,grrrgrrrrrGggrrrgrrrrrGg,1660125328
204820,2022-08-10 18:55:32,grrrgrrrrryggrrrgrrrrryg,1660125332
204820,2022-08-10 18:56:00,gGGrgrrrrrrrgGGrgrrrrrrr,1660125360
204820,2022-08-10 18:56:04,gyyrgrrrrrrrgyyrgrrrrrrr,1660125364
204820,2022-08-10 18:56:51,grrGgrrrrrrrgrrGgrrrrrrr,1660125411
204820,2022-08-10 18:56:54,grrygrrrrrrrgrrygrrrrrrr,1660125414
204820,2022-08-10 18:57:17,grrrgGGGGGrrgrrrgGGGGGrr,1660125437
204820,2022-08-10 18:57:21,grrrgyyyyyrrgrrrgyyyyyrr,1660125441
204820,2022-08-10 18:58:49,grrrgrrrrrGggrrrgrrrrrGg,1660125529
204820,2022-08-10 18:58:53,grrrgrrrrryggrrrgrrrrryg,1660125533
204820,2022-08-10 18:59:21,gGGrgrrrrrrrgGGrgrrrrrrr,1660125561
204820,2022-08-10 18:59:25,gyyrgrrrrrrrgyyrgrrrrrrr,1660125565
204822,2022-08-10 18:45:10,grrrgrrrrrrGggrrrrgrrrrrGg,1660124710
204822,2022-08-10 18:45:14,grrrgrrrrrryggrrrrgrrrrryg,1660124714
204822,2022-08-10 18:45:45,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660124745
204822,2022-08-10 18:45:49,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660124749
204822,2022-08-10 18:46:34,grrGgrrrrrrrrgrrGGgrrrrrrr,1660124794
204822,2022-08-10 18:46:38,grrygrrrrrrrrgrryygrrrrrrr,1660124798
204822,2022-08-10 18:47:01,grrrgGGGGGGrrgrrrrgGGGGGrr,1660124821
204822,2022-08-10 18:47:05,grrrgyyyyyyrrgrrrrgyyyyyrr,1660124825
204822,2022-08-10 18:48:29,grrrgrrrrrrGggrrrrgrrrrrGg,1660124909
204822,2022-08-10 18:48:33,grrrgrrrrrryggrrrrgrrrrryg,1660124913
204822,2022-08-10 18:49:04,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660124944
204822,2022-08-10 18:49:08,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660124948
204822,2022-08-10 18:49:55,grrGgrrrrrrrrgrrGGgrrrrrrr,1660124995
204822,2022-08-10 18:49:59,grrygrrrrrrrrgrryygrrrrrrr,1660124999
204822,2022-08-10 18:50:22,grrrgGGGGGGrrgrrrrgGGGGGrr,1660125022
204822,2022-08-10 18:50:26,grrrgyyyyyyrrgrrrrgyyyyyrr,1660125026
204822,2022-08-10 18:51:49,grrrgrrrrrrGggrrrrgrrrrrGg,1660125109
204822,2022-08-10 18:51:53,grrrgrrrrrryggrrrrgrrrrryg,1660125113
204822,2022-08-10 18:52:24,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660125144
204822,2022-08-10 18:52:28,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660125148
204822,2022-08-10 18:53:14,grrGgrrrrrrrrgrrGGgrrrrrrr,1660125194
204822,2022-08-10 18:53:18,grrygrrrrrrrrgrryygrrrrrrr,1660125198
204822,2022-08-10 18:53:41,grrrgGGGGGGrrgrrrrgGGGGGrr,1660125221
204822,2022-08-10 18:53:45,grrrgyyyyyyrrgrrrrgyyyyyrr,1660125225
204822,2022-08-10 18:55:10,grrrgrrrrrrGggrrrrgrrrrrGg,1660125310
204822,2022-08-10 18:55:14,grrrgrrrrrryggrrrrgrrrrryg,1660125314
204822,2022-08-10 18:55:44,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660125344
204822,2022-08-10 18:55:48,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660125348
204822,2022-08-10 18:56:34,grrGgrrrrrrrrgrrGGgrrrrrrr,1660125394
204822,2022-08-10 18:56:38,grrygrrrrrrrrgrryygrrrrrrr,1660125398
204822,2022-08-10 18:57:01,grrrgGGGGGGrrgrrrrgGGGGGrr,1660125421
204822,2022-08-10 18:57:05,grrrgyyyyyyrrgrrrrgyyyyyrr,1660125425
204822,2022-08-10 18:58:30,grrrgrrrrrrGggrrrrgrrrrrGg,1660125510
