interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 20:45:22,grrrgGGGGGrrgrrrgGGGGGrr,1660131922
204820,2022-08-10 20:45:26,grrrgyyyyyrrgrrrgyyyyyrr,1660131926
204820,2022-08-10 20:46:35,grrrgrrrrrGggrrrgrrrrrGg,1660131995
204820,2022-08-10 20:46:39,grrrgrrrrryggrrrgrrrrryg,1660131999
204820,2022-08-10 20:47:05,gGGrgrrrrrrrgGGrgrrrrrrr,1660132025
204820,2022-08-10 20:47:09,gyyrgrrrrrrrgyyrgrrrrrrr,1660132029
204820,2022-08-10 20:47:56,grrGgrrrrrrrgrrGgrrrrrrr,1660132076
204820,2022-08-10 20:47:59,grrygrrrrrrrgrrygrrrrrrr,1660132079
204820,2022-08-10 20:48:21,grrrgGGGGGrrgrrrgGGGGGrr,1660132101
204820,2022-08-10 20:48:25,grrrgyyyyyrrgrrrgyyyyyrr,1660132105
204820,2022-08-10 20:49:34,grrrgrrrrrGggrrrgrrrrrGg,1660132174
204820,2022-08-10 20:49:38,grrrgrrrrryggrrrgrrrrryg,1660132178
204820,2022-08-10 20:50:05,gGGrgrrrrrrrgGGrgrrrrrrr,1660132205
204820,2022-08-10 20:50:09,gyyrgrrrrrrrgyyrgrrrrrrr,1660132209
204820,2022-08-10 20:50:56,grrGgrrrrrrrgrrGgrrrrrrr,1660132256
204820,2022-08-10 20:50:59,grrygrrrrrrrgrrygrrrrrrr,1660132259
204820,2022-08-10 20:51:22,grrrgGGGGGrrgrrrgGGGGGrr,1660132282
204820,2022-08-10 20:51:26,grrrgyyyyyrrgrrrgyyyyyrr,1660132286
204820,2022-08-10 20:52:34,grrrgrrrrrGggrrrgrrrrrGg,1660132354
204820,2022-08-10 20:52:38,grrrgrrrrryggrrrgrrrrryg,1660132358
204820,2022-08-10 20:53:05,gGGrgrrrrrrrgGGrgrrrrrrr,1660132385
204820,2022-08-10 20:53:09,gyyrgrrrrrrrgyyrgrrrrrrr,1660132389
204820,2022-08-10 20:53:55,grrGgrrrrrrrgrrGgrrrrrrr,1660132435
204820,2022-08-10 20:53:58,grrygrrrrrrrgrrygrrrrrrr,1660132438
204820,2022-08-10 20:54:21,grrrgGGGGGrrgrrrgGGGGGrr,1660132461
204820,2022-08-10 20:54:25,grrrgyyyyyrrgrrrgyyyyyrr,1660132465
204820,2022-08-10 20:55:35,grrrgrrrrrGggrrrgrrrrrGg,1660132535
204820,2022-08-10 20:55:39,grrrgrrrrryggrrrgrrrrryg,1660132539
204820,2022-08-10 20:56:05,gGGrgrrrrrrrgGGrgrrrrrrr,1660132565
204820,2022-08-10 20:56:09,gyyrgrrrrrrrgyyrgrrrrrrr,1660132569
204820,2022-08-10 20:56:55,grrGgrrrrrrrgrrGgrrrrrrr,1660132615
204820,2022-08-10 20:56:58,grrygrrrrrrrgrrygrrrrrrr,1660132618
204820,2022-08-10 20:57:21,grrrgGGGGGrrgrrrgGGGGGrr,1660132641
204820,2022-08-10 20:57:25,grrrgyyyyyrrgrrrgyyyyyrr,1660132645
204820,2022-08-10 20:58:34,grrrgrrrrrGggrrrgrrrrrGg,1660132714
204820,2022-08-10 20:58:38,grrrgrrrrryggrrrgrrrrryg,1660132718
204820,2022-08-10 20:59:04,gGGrgrrrrrrrgGGrgrrrrrrr,1660132744
204820,2022-08-10 20:59:08,gyyrgrrrrrrrgyyrgrrrrrrr,1660132748
204820,2022-08-10 20:59:56,grrGgrrrrrrrgrrGgrrrrrrr,1660132796
204820,2022-08-10 20:59:59,grrygrrrrrrrgrrygrrrrrrr,1660132799
204822,2022-08-10 20:44:56,grrGgrrrrrrrrgrrGGgrrrrrrr,1660131896
204822,2022-08-10 20:45:00,grrygrrrrrrrrgrryygrrrrrrr,1660131900
204822,2022-08-10 20:45:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660131921
204822,2022-08-10 20:45:25,grrrgyyyyyyrrgrrrrgyyyyyrr,1660131925
204822,2022-08-10 20:46:40,grrrgrrrrrrGggrrrrgrrrrrGg,1660132000
204822,2022-08-10 20:46:44,grrrgrrrrrryggrrrrgrrrrryg,1660132004
204822,2022-08-10 20:47:06,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660132026
204822,2022-08-10 20:47:10,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660132030
204822,2022-08-10 20:47:56,grrGgrrrrrrrrgrrGGgrrrrrrr,1660132076
204822,2022-08-10 20:48:00,grrygrrrrrrrrgrryygrrrrrrr,1660132080
204822,2022-08-10 20:48:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660132101
204822,2022-08-10 20:48:25,grrrgyyyyyyrrgrrrrgyyyyyrr,1660132105
204822,2022-08-10 20:49:39,grrrgrrrrrrGggrrrrgrrrrrGg,1660132179
204822,2022-08-10 20:49:43,grrrgrrrrrryggrrrrgrrrrryg,1660132183
204822,2022-08-10 20:50:06,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660132206
204822,2022-08-10 20:50:10,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660132210
204822,2022-08-10 20:50:56,grrGgrrrrrrrrgrrGGgrrrrrrr,1660132256
204822,2022-08-10 20:51:00,grrygrrrrrrrrgrryygrrrrrrr,1660132260
204822,2022-08-10 20:51:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660132281
204822,2022-08-10 20:51:25,grrrgyyyyyyrrgrrrrgyyyyyrr,1660132285
204822,2022-08-10 20:52:39,grrrgrrrrrrGggrrrrgrrrrrGg,1660132359
204822,2022-08-10 20:52:43,grrrgrrrrrryggrrrrgrrrrryg,1660132363
204822,2022-08-10 20:53:06,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660132386
204822,2022-08-10 20:53:10,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660132390
204822,2022-08-10 20:53:56,grrGgrrrrrrrrgrrGGgrrrrrrr,1660132436
204822,2022-08-10 20:54:00,grrygrrrrrrrrgrryygrrrrrrr,1660132440
204822,2022-08-10 20:54:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660132461
204822,2022-08-10 20:54:25,grrrgyyyyyyrrgrrrrgyyyyyrr,1660132465
204822,2022-08-10 20:55:40,grrrgrrrrrrGggrrrrgrrrrrGg,1660132540
204822,2022-08-10 20:55:44,grrrgrrrrrryggrrrrgrrrrryg,1660132544
204822,2022-08-10 20:56:06,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660132566
204822,2022-08-10 20:56:10,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660132570
204822,2022-08-10 20:56:56,grrGgrrrrrrrrgrrGGgrrrrrrr,1660132616
204822,2022-08-10 20:57:00,grrygrrrrrrrrgrryygrrrrrrr,1660132620
204822,2022-08-10 20:57:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660132641
