interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 14:14:58,grrGgrrrrrrrgrrGgrrrrrrr,1660108498
204820,2022-08-10 14:15:01,grrygrrrrrrrgrrygrrrrrrr,1660108501
204820,2022-08-10 14:15:21,grrrgGGGGGrrgrrrgGGGGGrr,1660108521
204820,2022-08-10 14:15:25,grrrgyyyyyrrgrrrgyyyyyrr,1660108525
204820,2022-08-10 14:16:37,grrrgrrrrrGggrrrgrrrrrGg,1660108597
204820,2022-08-10 14:16:41,grrrgrrrrryggrrrgrrrrryg,1660108601
204820,2022-08-10 14:17:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660108627
204820,2022-08-10 14:17:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660108631
204820,2022-08-10 14:17:57,grrGgrrrrrrrgrrGgrrrrrrr,1660108677
204820,2022-08-10 14:18:00,grrygrrrrrrrgrrygrrrrrrr,1660108680
204820,2022-08-10 14:18:20,grrrgGGGGGrrgrrrgGGGGGrr,1660108700
204820,2022-08-10 14:18:24,grrrgyyyyyrrgrrrgyyyyyrr,1660108704
204820,2022-08-10 14:19:37,grrrgrrrrrGggrrrgrrrrrGg,1660108777
204820,2022-08-10 14:19:41,grrrgrrrrryggrrrgrrrrryg,1660108781
204820,2022-08-10 14:20:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660108807
204820,2022-08-10 14:20:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660108811
204820,2022-08-10 14:20:58,grrGgrrrrrrrgrrGgrrrrrrr,1660108858
204820,2022-08-10 14:21:01,grrygrrrrrrrgrrygrrrrrrr,1660108861
204820,2022-08-10 14:21:21,grrrgGGGGGrrgrrrgGGGGGrr,1660108881
204820,2022-08-10 14:21:25,grrrgyyyyyrrgrrrgyyyyyrr,1660108885
204820,2022-08-10 14:22:36,grrrgrrrrrGggrrrgrrrrrGg,1660108956
204820,2022-08-10 14:22:40,grrrgrrrrryggrrrgrrrrryg,1660108960
204820,2022-08-10 14:23:06,gGGrgrrrrrrrgGGrgrrrrrrr,1660108986
204820,2022-08-10 14:23:10,gyyrgrrrrrrrgyyrgrrrrrrr,1660108990
204820,2022-08-10 14:23:58,grrGgrrrrrrrgrrGgrrrrrrr,1660109038
204820,2022-08-10 14:24:01,grrygrrrrrrrgrrygrrrrrrr,1660109041
204820,2022-08-10 14:24:21,grrrgGGGGGrrgrrrgGGGGGrr,1660109061
204820,2022-08-10 14:24:25,grrrgyyyyyrrgrrrgyyyyyrr,1660109065
204820,2022-08-10 14:25:37,grrrgrrrrrGggrrrgrrrrrGg,1660109137
204820,2022-08-10 14:25:41,grrrgrrrrryggrrrgrrrrryg,1660109141
204820,2022-08-10 14:26:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660109167
204820,2022-08-10 14:26:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660109171
204820,2022-08-10 14:26:57,grrGgrrrrrrrgrrGgrrrrrrr,1660109217
204820,2022-08-10 14:27:00,grrygrrrrrrrgrrygrrrrrrr,1660109220
204820,2022-08-10 14:27:21,grrrgGGGGGrrgrrrgGGGGGrr,1660109241
204820,2022-08-10 14:27:25,grrrgyyyyyrrgrrrgyyyyyrr,1660109245
204820,2022-08-10 14:28:36,grrrgrrrrrGggrrrgrrrrrGg,1660109316
204820,2022-08-10 14:28:40,grrrgrrrrryggrrrgrrrrryg,1660109320
204820,2022-08-10 14:29:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660109347
204820,2022-08-10 14:29:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660109351
204822,2022-08-10 14:15:00,grrGgrrrrrrrrgrrGGgrrrrrrr,1660108500
204822,2022-08-10 14:15:04,grrygrrrrrrrrgrryygrrrrrrr,1660108504
204822,2022-08-10 14:15:22,grrrgGGGGGGrrgrrrrgGGGGGrr,1660108522
204822,2022-08-10 14:15:26,grrrgyyyyyyrrgrrrrgyyyyyrr,1660108526
204822,2022-08-10 14:16:37,grrrgrrrrrrGggrrrrgrrrrrGg,1660108597
204822,2022-08-10 14:16:41,grrrgrrrrrryggrrrrgrrrrryg,1660108601
204822,2022-08-10 14:17:04,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660108624
204822,2022-08-10 14:17:08,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660108628
204822,2022-08-10 14:17:59,grrGgrrrrrrrrgrrGGgrrrrrrr,1660108679
204822,2022-08-10 14:18:03,grrygrrrrrrrrgrryygrrrrrrr,1660108683
204822,2022-08-10 14:18:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660108701
204822,2022-08-10 14:18:25,grrrgyyyyyyrrgrrrrgyyyyyrr,1660108705
204822,2022-08-10 14:19:37,grrrgrrrrrrGggrrrrgrrrrrGg,1660108777
204822,2022-08-10 14:19:41,grrrgrrrrrryggrrrrgrrrrryg,1660108781
204822,2022-08-10 14:20:04,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660108804
204822,2022-08-10 14:20:08,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660108808
204822,2022-08-10 14:21:00,grrGgrrrrrrrrgrrGGgrrrrrrr,1660108860
204822,2022-08-10 14:21:04,grrygrrrrrrrrgrryygrrrrrrr,1660108864
204822,2022-08-10 14:21:22,grrrgGGGGGGrrgrrrrgGGGGGrr,1660108882
204822,2022-08-10 14:21:26,grrrgyyyyyyrrgrrrrgyyyyyrr,1660108886
204822,2022-08-10 14:22:37,grrrgrrrrrrGggrrrrgrrrrrGg,1660108957
204822,2022-08-10 14:22:41,grrrgrrrrrryggrrrrgrrrrryg,1660108961
204822,2022-08-10 14:23:03,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660108983
204822,2022-08-10 14:23:07,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660108987
204822,2022-08-10 14:24:00,grrGgrrrrrrrrgrrGGgrrrrrrr,1660109040
204822,2022-08-10 14:24:04,grrygrrrrrrrrgrryygrrrrrrr,1660109044
204822,2022-08-10 14:24:22,grrrgGGGGGGrrgrrrrgGGGGGrr,1660109062
204822,2022-08-10 14:24:26,grrrgyyyyyyrrgrrrrgyyyyyrr,1660109066
204822,2022-08-10 14:25:37,grrrgrrrrrrGggrrrrgrrrrrGg,1660109137
204822,2022-08-10 14:25:41,grrrgrrrrrryggrrrrgrrrrryg,1660109141
204822,2022-08-10 14:26:04,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660109164
204822,2022-08-10 14:26:08,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660109168
204822,2022-08-10 14:27:00,grrGgrrrrrrrrgrrGGgrrrrrrr,1660109220
204822,2022-08-10 14:27:04,grrygrrrrrrrrgrryygrrrrrrr,1660109224
204822,2022-08-10 14:27:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660109241
204822,2022-08-10 14:27:25,grrrgyyyyyyrrgrrrrgyyyyyrr,1660109245
204822,2022-08-10 14:28:37,grrrgrrrrrrGggrrrrgrrrrrGg,1660109317
204822,2022-08-10 14:28:41,grrrgrrrrrryggrrrrgrrrrryg,1660109321
204822,2022-08-10 14:29:04,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660109344
204822,2022-08-10 14:29:08,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660109348
201330,2022-08-10 14:15:30,rrrrGgrrrrrgrrrrGgrrrrr,1660108530
