interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 22:15:08,grrrgrrrrrGggrrrgrrrrrGg,1660137308
204820,2022-08-10 22:15:12,grrrgrrrrryggrrrgrrrrryg,1660137312
204820,2022-08-10 22:15:27,gGGrgrrrrrrrgGGrgrrrrrrr,1660137327
204820,2022-08-10 22:15:31,gyyrgrrrrrrrgyyrgrrrrrrr,1660137331
204820,2022-08-10 22:16:18,grrGgrrrrrrrgrrGgrrrrrrr,1660137378
204820,2022-08-10 22:16:21,grrygrrrrrrrgrrygrrrrrrr,1660137381
204820,2022-08-10 22:16:37,grrrgGGGGGrrgrrrgGGGGGrr,1660137397
204820,2022-08-10 22:16:41,grrrgyyyyyrrgrrrgyyyyyrr,1660137401
204820,2022-08-10 22:17:48,grrrgrrrrrGggrrrgrrrrrGg,1660137468
204820,2022-08-10 22:17:52,grrrgrrrrryggrrrgrrrrryg,1660137472
204820,2022-08-10 22:18:08,gGGrgrrrrrrrgGGrgrrrrrrr,1660137488
204820,2022-08-10 22:18:12,gyyrgrrrrrrrgyyrgrrrrrrr,1660137492
204820,2022-08-10 22:18:59,grrGgrrrrrrrgrrGgrrrrrrr,1660137539
204820,2022-08-10 22:19:02,grrygrrrrrrrgrrygrrrrrrr,1660137542
204820,2022-08-10 22:19:18,grrrgGGGGGrrgrrrgGGGGGrr,1660137558
204820,2022-08-10 22:19:22,grrrgyyyyyrrgrrrgyyyyyrr,1660137562
204820,2022-08-10 22:20:27,grrrgrrrrrGggrrrgrrrrrGg,1660137627
204820,2022-08-10 22:20:31,grrrgrrrrryggrrrgrrrrryg,1660137631
204820,2022-08-10 22:20:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660137647
204820,2022-08-10 22:20:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660137651
204820,2022-08-10 22:21:38,grrGgrrrrrrrgrrGgrrrrrrr,1660137698
204820,2022-08-10 22:21:41,grrygrrrrrrrgrrygrrrrrrr,1660137701
204820,2022-08-10 22:21:57,grrrgGGGGGrrgrrrgGGGGGrr,1660137717
204820,2022-08-10 22:22:01,grrrgyyyyyrrgrrrgyyyyyrr,1660137721
204820,2022-08-10 22:23:08,grrrgrrrrrGggrrrgrrrrrGg,1660137788
204820,2022-08-10 22:23:12,grrrgrrrrryggrrrgrrrrryg,1660137792
204820,2022-08-10 22:23:28,gGGrgrrrrrrrgGGrgrrrrrrr,1660137808
204820,2022-08-10 22:23:32,gyyrgrrrrrrrgyyrgrrrrrrr,1660137812
204820,2022-08-10 22:24:19,grrGgrrrrrrrgrrGgrrrrrrr,1660137859
204820,2022-08-10 22:24:22,grrygrrrrrrrgrrygrrrrrrr,1660137862
204820,2022-08-10 22:24:38,grrrgGGGGGrrgrrrgGGGGGrr,1660137878
204820,2022-08-10 22:24:42,grrrgyyyyyrrgrrrgyyyyyrr,1660137882
204820,2022-08-10 22:25:47,grrrgrrrrrGggrrrgrrrrrGg,1660137947
204820,2022-08-10 22:25:51,grrrgrrrrryggrrrgrrrrryg,1660137951
204820,2022-08-10 22:26:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660137967
204820,2022-08-10 22:26:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660137971
204820,2022-08-10 22:26:58,grrGgrrrrrrrgrrGgrrrrrrr,1660138018
204820,2022-08-10 22:27:01,grrygrrrrrrrgrrygrrrrrrr,1660138021
204820,2022-08-10 22:27:17,grrrgGGGGGrrgrrrgGGGGGrr,1660138037
204820,2022-08-10 22:27:21,grrrgyyyyyrrgrrrgyyyyyrr,1660138041
204820,2022-08-10 22:28:28,grrrgrrrrrGggrrrgrrrrrGg,1660138108
204820,2022-08-10 22:28:32,grrrgrrrrryggrrrgrrrrryg,1660138112
204820,2022-08-10 22:28:48,gGGrgrrrrrrrgGGrgrrrrrrr,1660138128
204820,2022-08-10 22:28:52,gyyrgrrrrrrrgyyrgrrrrrrr,1660138132
204820,2022-08-10 22:29:38,grrGgrrrrrrrgrrGgrrrrrrr,1660138178
204820,2022-08-10 22:29:41,grrygrrrrrrrgrrygrrrrrrr,1660138181
204822,2022-08-10 22:15:07,grrrgGGGGGGrrgrrrrgGGGGGrr,1660137307
204822,2022-08-10 22:15:11,grrrgyyyyyyrrgrrrrgyyyyyrr,1660137311
204822,2022-08-10 22:16:05,grrrgrrrrrrGggrrrrgrrrrrGg,1660137365
204822,2022-08-10 22:16:09,grrrgrrrrrryggrrrrgrrrrryg,1660137369
204822,2022-08-10 22:16:31,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660137391
204822,2022-08-10 22:16:35,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660137395
204822,2022-08-10 22:17:22,grrGgrrrrrrrrgrrGGgrrrrrrr,1660137442
204822,2022-08-10 22:17:26,grrygrrrrrrrrgrryygrrrrrrr,1660137446
204822,2022-08-10 22:17:47,grrrgGGGGGGrrgrrrrgGGGGGrr,1660137467
204822,2022-08-10 22:17:51,grrrgyyyyyyrrgrrrrgyyyyyrr,1660137471
204822,2022-08-10 22:18:45,grrrgrrrrrrGggrrrrgrrrrrGg,1660137525
204822,2022-08-10 22:18:49,grrrgrrrrrryggrrrrgrrrrryg,1660137529
204822,2022-08-10 22:19:12,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660137552
