interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 04:45:37,grrGgrrrrrrrgrrGgrrrrrrr,1660074337
204820,2022-08-10 04:45:40,grrygrrrrrrrgrrygrrrrrrr,1660074340
204820,2022-08-10 04:45:56,grrrgGGGGGrrgrrrgGGGGGrr,1660074356
204820,2022-08-10 04:46:00,grrrgyyyyyrrgrrrgyyyyyrr,1660074360
204820,2022-08-10 04:47:06,grrrgrrrrrGggrrrgrrrrrGg,1660074426
204820,2022-08-10 04:47:10,grrrgrrrrryggrrrgrrrrryg,1660074430
204820,2022-08-10 04:47:27,gGGrgrrrrrrrgGGrgrrrrrrr,1660074447
204820,2022-08-10 04:47:31,gyyrgrrrrrrrgyyrgrrrrrrr,1660074451
204820,2022-08-10 04:48:17,grrGgrrrrrrrgrrGgrrrrrrr,1660074497
204820,2022-08-10 04:48:20,grrygrrrrrrrgrrygrrrrrrr,1660074500
204820,2022-08-10 04:48:36,grrrgGGGGGrrgrrrgGGGGGrr,1660074516
204820,2022-08-10 04:48:40,grrrgyyyyyrrgrrrgyyyyyrr,1660074520
204820,2022-08-10 04:49:46,grrrgrrrrrGggrrrgrrrrrGg,1660074586
204820,2022-08-10 04:49:50,grrrgrrrrryggrrrgrrrrryg,1660074590
204820,2022-08-10 04:50:06,gGGrgrrrrrrrgGGrgrrrrrrr,1660074606
204820,2022-08-10 04:50:10,gyyrgrrrrrrrgyyrgrrrrrrr,1660074610
204820,2022-08-10 04:50:57,grrGgrrrrrrrgrrGgrrrrrrr,1660074657
204820,2022-08-10 04:51:00,grrygrrrrrrrgrrygrrrrrrr,1660074660
204820,2022-08-10 04:51:16,grrrgGGGGGrrgrrrgGGGGGrr,1660074676
204820,2022-08-10 04:51:20,grrrgyyyyyrrgrrrgyyyyyrr,1660074680
204820,2022-08-10 04:52:27,grrrgrrrrrGggrrrgrrrrrGg,1660074747
204820,2022-08-10 04:52:31,grrrgrrrrryggrrrgrrrrryg,1660074751
204820,2022-08-10 04:52:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660074767
204820,2022-08-10 04:52:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660074771
204820,2022-08-10 04:53:37,grrGgrrrrrrrgrrGgrrrrrrr,1660074817
204820,2022-08-10 04:53:40,grrygrrrrrrrgrrygrrrrrrr,1660074820
204820,2022-08-10 04:53:56,grrrgGGGGGrrgrrrgGGGGGrr,1660074836
204820,2022-08-10 04:54:00,grrrgyyyyyrrgrrrgyyyyyrr,1660074840
204820,2022-08-10 04:55:06,grrrgrrrrrGggrrrgrrrrrGg,1660074906
204820,2022-08-10 04:55:10,grrrgrrrrryggrrrgrrrrryg,1660074910
204820,2022-08-10 04:55:26,gGGrgrrrrrrrgGGrgrrrrrrr,1660074926
204820,2022-08-10 04:55:30,gyyrgrrrrrrrgyyrgrrrrrrr,1660074930
204820,2022-08-10 04:56:18,grrGgrrrrrrrgrrGgrrrrrrr,1660074978
204820,2022-08-10 04:56:21,grrygrrrrrrrgrrygrrrrrrr,1660074981
