interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 06:00:17,grrGgrrrrrrrgrrGgrrrrrrr,1660078817
204820,2022-08-10 06:00:20,grrygrrrrrrrgrrygrrrrrrr,1660078820
204820,2022-08-10 06:00:36,grrrgGGGGGrrgrrrgGGGGGrr,1660078836
204820,2022-08-10 06:00:40,grrrgyyyyyrrgrrrgyyyyyrr,1660078840
204820,2022-08-10 06:01:55,grrrgrrrrrGggrrrgrrrrrGg,1660078915
204820,2022-08-10 06:01:59,grrrgrrrrryggrrrgrrrrryg,1660078919
204820,2022-08-10 06:02:26,gGGrgrrrrrrrgGGrgrrrrrrr,1660078946
204820,2022-08-10 06:02:30,gyyrgrrrrrrrgyyrgrrrrrrr,1660078950
204820,2022-08-10 06:03:16,grrGgrrrrrrrgrrGgrrrrrrr,1660078996
204820,2022-08-10 06:03:19,grrygrrrrrrrgrrygrrrrrrr,1660078999
204820,2022-08-10 06:03:42,grrrgGGGGGrrgrrrgGGGGGrr,1660079022
204820,2022-08-10 06:03:46,grrrgyyyyyrrgrrrgyyyyyrr,1660079026
204820,2022-08-10 06:05:10,grrrgrrrrrGggrrrgrrrrrGg,1660079110
204820,2022-08-10 06:05:14,grrrgrrrrryggrrrgrrrrryg,1660079114
204820,2022-08-10 06:05:43,gGGrgrrrrrrrgGGrgrrrrrrr,1660079143
204820,2022-08-10 06:05:47,gyyrgrrrrrrrgyyrgrrrrrrr,1660079147
204820,2022-08-10 06:06:34,grrGgrrrrrrrgrrGgrrrrrrr,1660079194
204820,2022-08-10 06:06:37,grrygrrrrrrrgrrygrrrrrrr,1660079197
204820,2022-08-10 06:07:02,grrrgGGGGGrrgrrrgGGGGGrr,1660079222
204820,2022-08-10 06:07:06,grrrgyyyyyrrgrrrgyyyyyrr,1660079226
204820,2022-08-10 06:08:30,grrrgrrrrrGggrrrgrrrrrGg,1660079310
204820,2022-08-10 06:08:34,grrrgrrrrryggrrrgrrrrryg,1660079314
204820,2022-08-10 06:09:03,gGGrgrrrrrrrgGGrgrrrrrrr,1660079343
204820,2022-08-10 06:09:07,gyyrgrrrrrrrgyyrgrrrrrrr,1660079347
204820,2022-08-10 06:09:54,grrGgrrrrrrrgrrGgrrrrrrr,1660079394
204820,2022-08-10 06:09:57,grrygrrrrrrrgrrygrrrrrrr,1660079397
