interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 14:29:58,grrGgrrrrrrrgrrGgrrrrrrr,1660109398
204820,2022-08-10 14:30:01,grrygrrrrrrrgrrygrrrrrrr,1660109401
204820,2022-08-10 14:30:21,grrrgGGGGGrrgrrrgGGGGGrr,1660109421
204820,2022-08-10 14:30:25,grrrgyyyyyrrgrrrgyyyyyrr,1660109425
204820,2022-08-10 14:31:37,grrrgrrrrrGggrrrgrrrrrGg,1660109497
204820,2022-08-10 14:31:41,grrrgrrrrryggrrrgrrrrryg,1660109501
204820,2022-08-10 14:32:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660109527
204820,2022-08-10 14:32:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660109531
204820,2022-08-10 14:32:58,grrGgrrrrrrrgrrGgrrrrrrr,1660109578
204820,2022-08-10 14:33:01,grrygrrrrrrrgrrygrrrrrrr,1660109581
204820,2022-08-10 14:33:21,grrrgGGGGGrrgrrrgGGGGGrr,1660109601
204820,2022-08-10 14:33:25,grrrgyyyyyrrgrrrgyyyyyrr,1660109605
204820,2022-08-10 14:34:37,grrrgrrrrrGggrrrgrrrrrGg,1660109677
204820,2022-08-10 14:34:41,grrrgrrrrryggrrrgrrrrryg,1660109681
204820,2022-08-10 14:35:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660109707
204820,2022-08-10 14:35:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660109711
204820,2022-08-10 14:35:58,grrGgrrrrrrrgrrGgrrrrrrr,1660109758
204820,2022-08-10 14:36:01,grrygrrrrrrrgrrygrrrrrrr,1660109761
204820,2022-08-10 14:36:21,grrrgGGGGGrrgrrrgGGGGGrr,1660109781
204820,2022-08-10 14:36:25,grrrgyyyyyrrgrrrgyyyyyrr,1660109785
204820,2022-08-10 14:37:37,grrrgrrrrrGggrrrgrrrrrGg,1660109857
204820,2022-08-10 14:37:41,grrrgrrrrryggrrrgrrrrryg,1660109861
204820,2022-08-10 14:38:06,gGGrgrrrrrrrgGGrgrrrrrrr,1660109886
204820,2022-08-10 14:38:10,gyyrgrrrrrrrgyyrgrrrrrrr,1660109890
204820,2022-08-10 14:38:58,grrGgrrrrrrrgrrGgrrrrrrr,1660109938
204820,2022-08-10 14:39:01,grrygrrrrrrrgrrygrrrrrrr,1660109941
204820,2022-08-10 14:39:21,grrrgGGGGGrrgrrrgGGGGGrr,1660109961
204820,2022-08-10 14:39:25,grrrgyyyyyrrgrrrgyyyyyrr,1660109965
204820,2022-08-10 14:40:37,grrrgrrrrrGggrrrgrrrrrGg,1660110037
204820,2022-08-10 14:40:41,grrrgrrrrryggrrrgrrrrryg,1660110041
204820,2022-08-10 14:41:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660110067
204820,2022-08-10 14:41:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660110071
204820,2022-08-10 14:41:57,grrGgrrrrrrrgrrGgrrrrrrr,1660110117
204820,2022-08-10 14:42:00,grrygrrrrrrrgrrygrrrrrrr,1660110120
204820,2022-08-10 14:42:21,grrrgGGGGGrrgrrrgGGGGGrr,1660110141
204820,2022-08-10 14:42:25,grrrgyyyyyrrgrrrgyyyyyrr,1660110145
204820,2022-08-10 14:43:36,grrrgrrrrrGggrrrgrrrrrGg,1660110216
