interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 01:45:46,grrrgrrrrrGggrrrgrrrrrGg,1660063546
204820,2022-08-10 01:45:50,grrrgrrrrryggrrrgrrrrryg,1660063550
204820,2022-08-10 01:46:06,gGGrgrrrrrrrgGGrgrrrrrrr,1660063566
204820,2022-08-10 01:46:10,gyyrgrrrrrrrgyyrgrrrrrrr,1660063570
204820,2022-08-10 01:46:57,grrGgrrrrrrrgrrGgrrrrrrr,1660063617
204820,2022-08-10 01:47:00,grrygrrrrrrrgrrygrrrrrrr,1660063620
204820,2022-08-10 01:47:16,grrrgGGGGGrrgrrrgGGGGGrr,1660063636
204820,2022-08-10 01:47:20,grrrgyyyyyrrgrrrgyyyyyrr,1660063640
204820,2022-08-10 01:48:27,grrrgrrrrrGggrrrgrrrrrGg,1660063707
204820,2022-08-10 01:48:31,grrrgrrrrryggrrrgrrrrryg,1660063711
204820,2022-08-10 01:48:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660063727
204820,2022-08-10 01:48:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660063731
204820,2022-08-10 01:49:38,grrGgrrrrrrrgrrGgrrrrrrr,1660063778
204820,2022-08-10 01:49:41,grrygrrrrrrrgrrygrrrrrrr,1660063781
204820,2022-08-10 01:49:57,grrrgGGGGGrrgrrrgGGGGGrr,1660063797
204820,2022-08-10 01:50:01,grrrgyyyyyrrgrrrgyyyyyrr,1660063801
204820,2022-08-10 01:51:06,grrrgrrrrrGggrrrgrrrrrGg,1660063866
204820,2022-08-10 01:51:10,grrrgrrrrryggrrrgrrrrryg,1660063870
204820,2022-08-10 01:51:26,gGGrgrrrrrrrgGGrgrrrrrrr,1660063886
204820,2022-08-10 01:51:30,gyyrgrrrrrrrgyyrgrrrrrrr,1660063890
204820,2022-08-10 01:52:17,grrGgrrrrrrrgrrGgrrrrrrr,1660063937
204820,2022-08-10 01:52:20,grrygrrrrrrrgrrygrrrrrrr,1660063940
204820,2022-08-10 01:52:36,grrrgGGGGGrrgrrrgGGGGGrr,1660063956
204820,2022-08-10 01:52:40,grrrgyyyyyrrgrrrgyyyyyrr,1660063960
204820,2022-08-10 01:53:47,grrrgrrrrrGggrrrgrrrrrGg,1660064027
204820,2022-08-10 01:53:51,grrrgrrrrryggrrrgrrrrryg,1660064031
204820,2022-08-10 01:54:07,gGGrgrrrrrrrgGGrgrrrrrrr,1660064047
204820,2022-08-10 01:54:11,gyyrgrrrrrrrgyyrgrrrrrrr,1660064051
204820,2022-08-10 01:54:58,grrGgrrrrrrrgrrGgrrrrrrr,1660064098
204820,2022-08-10 01:55:01,grrygrrrrrrrgrrygrrrrrrr,1660064101
204820,2022-08-10 01:55:17,grrrgGGGGGrrgrrrgGGGGGrr,1660064117
204820,2022-08-10 01:55:21,grrrgyyyyyrrgrrrgyyyyyrr,1660064121
204820,2022-08-10 01:56:27,grrrgrrrrrGggrrrgrrrrrGg,1660064187
204820,2022-08-10 01:56:31,grrrgrrrrryggrrrgrrrrryg,1660064191
204820,2022-08-10 01:56:47,gGGrgrrrrrrrgGGrgrrrrrrr,1660064207
204820,2022-08-10 01:56:51,gyyrgrrrrrrrgyyrgrrrrrrr,1660064211
204820,2022-08-10 01:57:38,grrGgrrrrrrrgrrGgrrrrrrr,1660064258
204820,2022-08-10 01:57:41,grrygrrrrrrrgrrygrrrrrrr,1660064261
204820,2022-08-10 01:57:57,grrrgGGGGGrrgrrrgGGGGGrr,1660064277
204820,2022-08-10 01:58:01,grrrgyyyyyrrgrrrgyyyyyrr,1660064281
204820,2022-08-10 01:59:07,grrrgrrrrrGggrrrgrrrrrGg,1660064347
