interid,aringstarttime,signalstate,unix_time
204820,2022-08-10 07:30:21,grrrgGGGGGrrgrrrgGGGGGrr,1660084221
204820,2022-08-10 07:30:25,grrrgyyyyyrrgrrrgyyyyyrr,1660084225
204820,2022-08-10 07:31:50,grrrgrrrrrGggrrrgrrrrrGg,1660084310
204820,2022-08-10 07:31:54,grrrgrrrrryggrrrgrrrrryg,1660084314
204820,2022-08-10 07:32:23,gGGrgrrrrrrrgGGrgrrrrrrr,1660084343
204820,2022-08-10 07:32:27,gyyrgrrrrrrrgyyrgrrrrrrr,1660084347
204820,2022-08-10 07:33:14,grrGgrrrrrrrgrrGgrrrrrrr,1660084394
204820,2022-08-10 07:33:17,grrygrrrrrrrgrrygrrrrrrr,1660084397
204820,2022-08-10 07:33:42,grrrgGGGGGrrgrrrgGGGGGrr,1660084422
204820,2022-08-10 07:33:46,grrrgyyyyyrrgrrrgyyyyyrr,1660084426
204820,2022-08-10 07:35:09,grrrgrrrrrGggrrrgrrrrrGg,1660084509
204820,2022-08-10 07:35:13,grrrgrrrrryggrrrgrrrrryg,1660084513
204820,2022-08-10 07:35:42,gGGrgrrrrrrrgGGrgrrrrrrr,1660084542
204820,2022-08-10 07:35:46,gyyrgrrrrrrrgyyrgrrrrrrr,1660084546
204820,2022-08-10 07:36:34,grrGgrrrrrrrgrrGgrrrrrrr,1660084594
204820,2022-08-10 07:36:37,grrygrrrrrrrgrrygrrrrrrr,1660084597
204820,2022-08-10 07:37:02,grrrgGGGGGrrgrrrgGGGGGrr,1660084622
204820,2022-08-10 07:37:06,grrrgyyyyyrrgrrrgyyyyyrr,1660084626
204820,2022-08-10 07:38:30,grrrgrrrrrGggrrrgrrrrrGg,1660084710
204820,2022-08-10 07:38:34,grrrgrrrrryggrrrgrrrrryg,1660084714
204820,2022-08-10 07:39:03,gGGrgrrrrrrrgGGrgrrrrrrr,1660084743
204820,2022-08-10 07:39:07,gyyrgrrrrrrrgyyrgrrrrrrr,1660084747
204820,2022-08-10 07:39:54,grrGgrrrrrrrgrrGgrrrrrrr,1660084794
204820,2022-08-10 07:39:57,grrygrrrrrrrgrrygrrrrrrr,1660084797
204820,2022-08-10 07:40:21,grrrgGGGGGrrgrrrgGGGGGrr,1660084821
204820,2022-08-10 07:40:25,grrrgyyyyyrrgrrrgyyyyyrr,1660084825
204820,2022-08-10 07:41:50,grrrgrrrrrGggrrrgrrrrrGg,1660084910
204820,2022-08-10 07:41:54,grrrgrrrrryggrrrgrrrrryg,1660084914
204820,2022-08-10 07:42:23,gGGrgrrrrrrrgGGrgrrrrrrr,1660084943
204820,2022-08-10 07:42:27,gyyrgrrrrrrrgyyrgrrrrrrr,1660084947
204820,2022-08-10 07:43:14,grrGgrrrrrrrgrrGgrrrrrrr,1660084994
204820,2022-08-10 07:43:17,grrygrrrrrrrgrrygrrrrrrr,1660084997
204820,2022-08-10 07:43:42,grrrgGGGGGrrgrrrgGGGGGrr,1660085022
204820,2022-08-10 07:43:46,grrrgyyyyyrrgrrrgyyyyyrr,1660085026
204822,2022-08-10 07:30:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660084221
204822,2022-08-10 07:30:25,grrrgyyyyyyrrgrrrrgyyyyyrr,1660084225
204822,2022-08-10 07:31:50,grrrgrrrrrrGggrrrrgrrrrrGg,1660084310
204822,2022-08-10 07:31:54,grrrgrrrrrryggrrrrgrrrrryg,1660084314
204822,2022-08-10 07:32:22,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660084342
204822,2022-08-10 07:32:26,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660084346
204822,2022-08-10 07:33:12,grrGgrrrrrrrrgrrGGgrrrrrrr,1660084392
204822,2022-08-10 07:33:16,grrygrrrrrrrrgrryygrrrrrrr,1660084396
204822,2022-08-10 07:33:42,grrrgGGGGGGrrgrrrrgGGGGGrr,1660084422
204822,2022-08-10 07:33:46,grrrgyyyyyyrrgrrrrgyyyyyrr,1660084426
204822,2022-08-10 07:35:09,grrrgrrrrrrGggrrrrgrrrrrGg,1660084509
204822,2022-08-10 07:35:13,grrrgrrrrrryggrrrrgrrrrryg,1660084513
204822,2022-08-10 07:35:41,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660084541
204822,2022-08-10 07:35:45,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660084545
204822,2022-08-10 07:36:32,grrGgrrrrrrrrgrrGGgrrrrrrr,1660084592
204822,2022-08-10 07:36:36,grrygrrrrrrrrgrryygrrrrrrr,1660084596
204822,2022-08-10 07:37:02,grrrgGGGGGGrrgrrrrgGGGGGrr,1660084622
204822,2022-08-10 07:37:06,grrrgyyyyyyrrgrrrrgyyyyyrr,1660084626
204822,2022-08-10 07:38:30,grrrgrrrrrrGggrrrrgrrrrrGg,1660084710
204822,2022-08-10 07:38:34,grrrgrrrrrryggrrrrgrrrrryg,1660084714
204822,2022-08-10 07:39:02,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660084742
204822,2022-08-10 07:39:06,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660084746
204822,2022-08-10 07:39:51,grrGgrrrrrrrrgrrGGgrrrrrrr,1660084791
204822,2022-08-10 07:39:55,grrygrrrrrrrrgrryygrrrrrrr,1660084795
204822,2022-08-10 07:40:21,grrrgGGGGGGrrgrrrrgGGGGGrr,1660084821
204822,2022-08-10 07:40:25,grrrgyyyyyyrrgrrrrgyyyyyrr,1660084825
204822,2022-08-10 07:41:50,grrrgrrrrrrGggrrrrgrrrrrGg,1660084910
204822,2022-08-10 07:41:54,grrrgrrrrrryggrrrrgrrrrryg,1660084914
204822,2022-08-10 07:42:22,gGGrgrrrrrrrrgGGrrgrrrrrrr,1660084942
204822,2022-08-10 07:42:26,gyyrgrrrrrrrrgyyrrgrrrrrrr,1660084946
204822,2022-08-10 07:43:12,grrGgrrrrrrrrgrrGGgrrrrrrr,1660084992
204822,2022-08-10 07:43:16,grrygrrrrrrrrgrryygrrrrrrr,1660084996
204822,2022-08-10 07:43:42,grrrgGGGGGGrrgrrrrgGGGGGrr,1660085022
204822,2022-08-10 07:43:46,grrrgyyyyyyrrgrrrrgyyyyyrr,1660085026
201330,2022-08-10 07:30:08,rrrrrgGGGGggrrrrrrrrrrr,1660084208
201330,2022-08-10 07:30:12,rrrrrgyyyyggrrrrrrrrrrr,1660084212
201330,2022-08-10 07:30:57,GGGGrrrrrrrgGGGGrrrrrrr,1660084257
201330,2022-08-10 07:31:01,yyyyrrrrrrrgyyyyrrrrrrr,1660084261
201330,2022-08-10 07:32:21,rrrrGgrrrrrgrrrrGgrrrrr,1660084341
201330,2022-08-10 07:32:25,rrrrygrrrrrgrrrrygrrrrr,1660084345
201330,2022-08-10 07:32:44,rrrrrrrrrrrgrrrrrrGGGGg,1660084364
201330,2022-08-10 07:32:48,rrrrrrrrrrrgrrrrrryyyyg,1660084368
201330,2022-08-10 07:33:33,rrrrrgGGGGggrrrrrrrrrrr,1660084413
201330,2022-08-10 07:33:37,rrrrrgyyyyggrrrrrrrrrrr,1660084417
201330,2022-08-10 07:34:22,GGGGrrrrrrrgGGGGrrrrrrr,1660084462
201330,2022-08-10 07:34:26,yyyyrrrrrrrgyyyyrrrrrrr,1660084466
201330,2022-08-10 07:35:46,rrrrGgrrrrrgrrrrGgrrrrr,1660084546
201330,2022-08-10 07:35:50,rrrrygrrrrrgrrrrygrrrrr,1660084550
201330,2022-08-10 07:36:09,rrrrrrrrrrrgrrrrrrGGGGg,1660084569
201330,2022-08-10 07:36:13,rrrrrrrrrrrgrrrrrryyyyg,1660084573
201330,2022-08-10 07:36:58,rrrrrgGGGGggrrrrrrrrrrr,1660084618
201330,2022-08-10 07:37:02,rrrrrgyyyyggrrrrrrrrrrr,1660084622
201330,2022-08-10 07:37:47,GGGGrrrrrrrgGGGGrrrrrrr,1660084667
201330,2022-08-10 07:37:51,yyyyrrrrrrrgyyyyrrrrrrr,1660084671
201330,2022-08-10 07:39:11,rrrrGgrrrrrgrrrrGgrrrrr,1660084751
201330,2022-08-10 07:39:15,rrrrygrrrrrgrrrrygrrrrr,1660084755
201330,2022-08-10 07:39:33,rrrrrrrrrrrgrrrrrrGGGGg,1660084773
201330,2022-08-10 07:39:37,rrrrrrrrrrrgrrrrrryyyyg,1660084777
201330,2022-08-10 07:40:23,rrrrrgGGGGggrrrrrrrrrrr,1660084823
201330,2022-08-10 07:40:27,rrrrrgyyyyggrrrrrrrrrrr,1660084827
201330,2022-08-10 07:41:12,GGGGrrrrrrrgGGGGrrrrrrr,1660084872
201330,2022-08-10 07:41:16,yyyyrrrrrrrgyyyyrrrrrrr,1660084876
201330,2022-08-10 07:42:36,rrrrGgrrrrrgrrrrGgrrrrr,1660084956
201330,2022-08-10 07:42:40,rrrrygrrrrrgrrrrygrrrrr,1660084960
201330,2022-08-10 07:42:59,rrrrrrrrrrrgrrrrrrGGGGg,1660084979
201330,2022-08-10 07:43:03,rrrrrrrrrrrgrrrrrryyyyg,1660084983
201330,2022-08-10 07:43:48,rrrrrgGGGGggrrrrrrrrrrr,1660085028
201330,2022-08-10 07:43:52,rrrrrgyyyyggrrrrrrrrrrr,1660085032
201330,2022-08-10 07:44:36,GGGGrrrrrrrgGGGGrrrrrrr,1660085076
201330,2022-08-10 07:44:40,yyyyrrrrrrrgyyyyrrrrrrr,1660085080
201305,2022-08-10 07:30:09,grrrrrrrgrrrgrrrrrrrgGGg,1660084209
201305,2022-08-10 07:30:13,grrrrrrrgrrrgrrrrrrrgyyg,1660084213
201305,2022-08-10 07:30:57,gGGGGGrrgrrrgGGGGGrrgrrr,1660084257
201305,2022-08-10 07:31:01,gyyyyyrrgrrrgyyyyyrrgrrr,1660084261
201305,2022-08-10 07:32:19,grrrrrGggrrrgrrrrrGggrrr,1660084339
201305,2022-08-10 07:32:23,grrrrryggrrrgrrrrryggrrr,1660084343
201305,2022-08-10 07:32:45,grrrrrrggGGGgrrrrrrrgrrr,1660084365
201305,2022-08-10 07:32:49,grrrrrrggyyygrrrrrrrgrrr,1660084369
201305,2022-08-10 07:33:33,grrrrrrrgrrrgrrrrrrrgGGg,1660084413
201305,2022-08-10 07:33:37,grrrrrrrgrrrgrrrrrrrgyyg,1660084417
201305,2022-08-10 07:34:22,gGGGGGrrgrrrgGGGGGrrgrrr,1660084462
201305,2022-08-10 07:34:26,gyyyyyrrgrrrgyyyyyrrgrrr,1660084466
201305,2022-08-10 07:35:45,grrrrrGggrrrgrrrrrGggrrr,1660084545
201305,2022-08-10 07:35:49,grrrrryggrrrgrrrrryggrrr,1660084549
201305,2022-08-10 07:36:11,grrrrrrggGGGgrrrrrrrgrrr,1660084571
201305,2022-08-10 07:36:15,grrrrrrggyyygrrrrrrrgrrr,1660084575
201305,2022-08-10 07:36:59,grrrrrrrgrrrgrrrrrrrgGGg,1660084619
201305,2022-08-10 07:37:03,grrrrrrrgrrrgrrrrrrrgyyg,1660084623
201305,2022-08-10 07:37:46,gGGGGGrrgrrrgGGGGGrrgrrr,1660084666
201305,2022-08-10 07:37:50,gyyyyyrrgrrrgyyyyyrrgrrr,1660084670
201305,2022-08-10 07:39:10,grrrrrGggrrrgrrrrrGggrrr,1660084750
201305,2022-08-10 07:39:14,grrrrryggrrrgrrrrryggrrr,1660084754
201305,2022-08-10 07:39:36,grrrrrrggGGGgrrrrrrrgrrr,1660084776
201305,2022-08-10 07:39:40,grrrrrrggyyygrrrrrrrgrrr,1660084780
201305,2022-08-10 07:40:24,grrrrrrrgrrrgrrrrrrrgGGg,1660084824
201305,2022-08-10 07:40:28,grrrrrrrgrrrgrrrrrrrgyyg,1660084828
201305,2022-08-10 07:41:12,gGGGGGrrgrrrgGGGGGrrgrrr,1660084872
201305,2022-08-10 07:41:16,gyyyyyrrgrrrgyyyyyrrgrrr,1660084876
201305,2022-08-10 07:42:34,grrrrrGggrrrgrrrrrGggrrr,1660084954
201305,2022-08-10 07:42:38,grrrrryggrrrgrrrrryggrrr,1660084958
201305,2022-08-10 07:43:01,grrrrrrggGGGgrrrrrrrgrrr,1660084981
201305,2022-08-10 07:43:05,grrrrrrggyyygrrrrrrrgrrr,1660084985
201305,2022-08-10 07:43:49,grrrrrrrgrrrgrrrrrrrgGGg,1660085029
201305,2022-08-10 07:43:53,grrrrrrrgrrrgrrrrrrrgyyg,1660085033
201305,2022-08-10 07:44:37,gGGGGGrrgrrrgGGGGGrrgrrr,1660085077
201305,2022-08-10 07:44:41,gyyyyyrrgrrrgyyyyyrrgrrr,1660085081
204920,2022-08-10 07:30:09,grrrrrrrrgrrrrgrrrrrrrgGGGG,1660084209
204920,2022-08-10 07:30:13,grrrrrrrrgrrrrgrrrrrrrgGGGG,1660084213
204920,2022-08-10 07:30:57,gGGGGGGrrgrrrrgGGGGGGggrrrr,1660084257
204920,2022-08-10 07:31:01,gyyyyyyrrgrrrrgyyyyyyggrrrr,1660084261
204920,2022-08-10 07:32:20,grrrrrrGggrrrrgrrrrGGggrrrr,1660084340
204920,2022-08-10 07:32:24,grrrrrryggrrrrgrrrryyggrrrr,1660084344
204920,2022-08-10 07:32:46,grrrrrrrggGGGGgrrrrrrrgrrrr,1660084366
